Date,Open,High,Low,Close,Adj Close,Volume
2011-05-16,140.889999,143.389999,140.259995,140.600006,118.815262,6458800
2011-05-17,140.259995,141.949997,139.080002,140.809998,118.992729,7071400
2011-05-18,140.929993,141.820007,140.210007,140.839996,119.018105,4768900
2011-05-19,141.229996,141.300003,138.429993,139.339996,117.750511,7331500
2011-05-20,138.179993,139.639999,134.789993,134.990005,114.074501,11284500
2011-05-23,133.639999,137.190002,133.639999,135.839996,114.792755,8406500
2011-05-24,136.270004,136.759995,135.029999,136.339996,115.215302,6605300
2011-05-25,135.669998,137.589996,135.509995,136.240005,115.130821,6528800
2011-05-26,136.199997,136.699997,135.339996,136.259995,115.147720,5332300
2011-05-27,136.250000,138.960007,136.229996,138.660004,117.477608,5275700
2011-05-31,140.820007,142.300003,139.880005,140.729996,119.231369,7023200
2011-06-01,139.949997,140.000000,136.100006,136.169998,115.367989,6768100
2011-06-02,136.649994,136.729996,131.500000,134.380005,113.851456,12423400
2011-06-03,132.979996,137.169998,132.889999,135.330002,114.656311,5457600
2011-06-06,134.750000,135.220001,133.139999,133.899994,113.444778,5287800
2011-06-07,134.380005,135.759995,132.990005,132.990005,112.673775,6191500
2011-06-08,132.630005,134.889999,131.500000,131.589996,111.487648,6795100
2011-06-09,131.990005,135.100006,131.830002,133.529999,113.131279,4498100
2011-06-10,133.210007,137.250000,132.520004,135.919998,115.156166,7556800
2011-06-13,136.130005,137.970001,135.919998,137.529999,116.520203,5272900
2011-06-14,138.199997,138.949997,136.539993,137.100006,116.155937,5849900
2011-06-15,136.070007,137.589996,134.009995,134.850006,114.249664,5715200
2011-06-16,134.630005,136.889999,134.149994,136.089996,115.300209,5230700
2011-06-17,137.830002,138.789993,137.210007,137.229996,116.266037,6758300
2011-06-20,136.419998,136.729996,134.360001,135.139999,114.495346,4019900
2011-06-21,135.500000,137.190002,134.300003,135.960007,115.190048,4213300
2011-06-22,135.589996,137.779999,134.429993,134.520004,113.970047,4224400
2011-06-23,133.100006,133.830002,131.639999,132.360001,112.139999,6706600
2011-06-24,132.809998,133.449997,130.820007,130.910004,110.911522,5774800
2011-06-27,130.750000,131.860001,129.800003,130.710007,110.742088,5831800
2011-06-28,131.339996,131.339996,128.300003,129.259995,109.513596,8056000
2011-06-29,129.729996,133.229996,129.500000,132.529999,112.284081,8170800
2011-06-30,133.050003,133.800003,131.500000,133.089996,112.758522,4980900
2011-07-01,133.429993,136.720001,133.089996,136.649994,115.774666,5103500
2011-07-05,135.899994,136.050003,133.000000,134.500000,113.953110,4458300
2011-07-06,133.779999,134.440002,132.820007,133.889999,113.436295,3029100
2011-07-07,135.089996,136.199997,134.720001,135.009995,114.385208,3857500
2011-07-08,133.320007,134.399994,133.169998,134.080002,113.597260,4141600
2011-07-11,132.750000,133.429993,131.070007,132.020004,111.851959,4722900
2011-07-12,131.419998,132.660004,130.100006,130.309998,110.403206,4330900
2011-07-13,130.740005,131.770004,129.699997,129.919998,110.072769,4410500
2011-07-14,131.699997,132.199997,129.750000,129.889999,110.047371,5357200
2011-07-15,131.309998,131.509995,129.179993,130.160004,110.276131,5255100
2011-07-18,129.580002,130.160004,127.500000,129.330002,109.572899,5836500
2011-07-19,125.730003,129.929993,125.500000,128.490005,108.861221,15297700
2011-07-20,128.000000,133.800003,127.580002,132.750000,112.470451,8578300
2011-07-21,133.520004,135.979996,133.250000,135.580002,114.868126,7671000
2011-07-22,135.029999,136.470001,134.440002,135.490005,114.791847,4925500
2011-07-25,134.169998,137.130005,133.500000,136.850006,115.944107,5856700
2011-07-26,136.610001,139.250000,136.020004,137.600006,116.579559,5464700
2011-07-27,136.789993,137.250000,134.440002,134.720001,114.139496,5250000
2011-07-28,134.970001,138.130005,134.649994,135.839996,115.088387,4429700
2011-07-29,134.100006,136.600006,133.130005,134.970001,114.351311,5340300
2011-08-01,136.919998,137.339996,133.750000,134.149994,113.656563,5880700
2011-08-02,132.080002,134.759995,131.179993,131.229996,111.182648,7594500
2011-08-03,131.350006,133.270004,130.710007,132.080002,111.902779,6499400
2011-08-04,130.839996,131.889999,126.209999,126.230003,106.946472,8193300
2011-08-05,127.750000,129.229996,122.349998,125.180000,106.056892,11167300
2011-08-08,122.080002,125.440002,112.110001,117.660004,99.685677,17378000
2011-08-09,120.510002,123.150002,111.599998,122.730003,103.981155,15913400
2011-08-10,119.580002,119.669998,110.040001,110.339996,93.483902,18592000
2011-08-11,112.940002,119.750000,112.250000,118.099998,100.058434,11842200
2011-08-12,119.820000,120.879997,115.290001,116.470001,98.677452,9607900
2011-08-15,117.570000,119.699997,116.000000,119.129997,100.931091,7257200
2011-08-16,117.599998,119.779999,115.500000,116.870003,99.016380,7413100
2011-08-17,117.360001,118.750000,116.550003,117.250000,99.338303,4828600
2011-08-18,112.150002,114.500000,112.040001,113.139999,95.856155,9284600
2011-08-19,111.870003,115.300003,111.110001,111.760002,94.686989,6829000
2011-08-22,114.169998,114.489998,105.099998,106.510002,90.238998,11286600
2011-08-23,106.019997,108.800003,103.160004,106.860001,90.535538,24482500
2011-08-24,106.900002,110.739998,106.389999,110.309998,93.458473,10169800
2011-08-25,114.510002,118.099998,108.110001,109.839996,93.060295,11939500
2011-08-26,108.629997,112.580002,107.720001,111.750000,94.678513,7355700
2011-08-29,113.650002,116.540001,112.330002,116.070000,98.338554,5177900
2011-08-30,115.330002,116.000000,113.250000,115.180000,97.879684,5298800
2011-08-31,115.400002,117.800003,114.669998,116.220001,98.763458,6488100
2011-09-01,115.550003,115.550003,111.599998,112.160004,95.313293,9855500
2011-09-02,108.580002,109.239998,105.800003,107.059998,90.979317,8380900
2011-09-06,103.669998,105.599998,103.430000,104.559998,88.854813,7749300
2011-09-07,106.000000,108.790001,105.000000,108.339996,92.067055,6526400
2011-09-08,107.129997,108.000000,104.739998,104.790001,89.050285,6508800
2011-09-09,104.379997,105.820000,102.220001,102.250000,86.891808,8613700
2011-09-12,100.790001,103.000000,99.779999,102.919998,87.461151,8769600
2011-09-13,103.410004,105.180000,101.500000,104.089996,88.455414,7119200
2011-09-14,104.910004,105.879997,103.529999,104.540001,88.837807,6602200
2011-09-15,105.169998,108.190002,105.099998,107.970001,91.752632,6354500
2011-09-16,109.070000,109.660004,105.910004,107.489998,91.344734,7999300
